Transaction_Value,No_Of_Monthly_Transactions,Age,Sex,High_Risk_Country,Vulnerable_Area,Intention_International_Payments,Intention_Cash_Deposits,High_Risk_Transaction,Average_Value_Per_Transaction,Transaction_Cash,Transaction_Wire,Age_Is_young,Age_Is_lower_middle,Age_Is_upper_middle,Age_Is_old
8446,18,79,0,0,0,0,0,0,469.22222222222223,0,1,0,0,0,1
4977,16,79,0,0,0,0,0,0,311.0625,0,1,0,0,0,1
7690,20,79,0,0,0,0,0,0,384.5,0,1,0,0,0,1
7580,9,79,0,0,0,0,0,0,842.2222222222222,0,1,0,0,0,1
7099,13,79,0,0,0,0,0,0,546.0769230769231,0,1,0,0,0,1
6654,16,79,0,0,0,0,0,0,415.875,0,1,0,0,0,1
8065,11,34,0,0,0,0,0,0,733.1818181818181,0,1,0,1,0,0
7994,12,34,0,0,0,0,0,0,666.1666666666666,0,1,0,1,0,0
6404,16,34,0,0,0,0,0,0,400.25,0,1,0,1,0,0
7049,12,34,0,0,0,0,0,0,587.4166666666666,0,1,0,1,0,0
8994,11,58,1,0,0,0,0,0,817.6363636363636,0,1,0,0,1,0
5961,11,58,1,0,0,0,0,0,541.9090909090909,0,1,0,0,1,0
8825,11,58,1,0,0,0,0,0,802.2727272727273,0,1,0,0,1,0
6459,19,30,0,1,0,0,0,1,339.94736842105266,0,1,0,1,0,0
1806,12,30,0,1,0,0,0,1,150.5,0,1,0,1,0,0
1615,16,30,0,1,0,0,0,1,100.9375,0,1,0,1,0,0
4150,19,30,0,1,0,0,0,1,218.42105263157896,0,1,0,1,0,0
2173,16,30,0,1,0,0,0,1,135.8125,0,1,0,1,0,0
1166,11,30,0,1,0,0,0,1,106.0,0,1,0,1,0,0
984,7,30,0,1,0,0,0,1,140.57142857142858,0,1,0,1,0,0
1290,10,30,0,1,0,0,0,1,129.0,0,1,0,1,0,0
724,15,30,0,1,0,0,0,1,48.266666666666666,0,1,0,1,0,0
1174,9,30,0,1,0,0,0,1,130.44444444444446,0,1,0,1,0,0
3261,12,30,0,1,0,0,0,1,271.75,0,1,0,1,0,0
1233,6,30,0,1,0,0,0,1,205.5,0,1,0,1,0,0
4090,14,42,1,0,0,1,1,0,292.14285714285717,0,1,0,1,0,0
4164,7,42,1,0,0,1,1,0,594.8571428571429,0,1,0,1,0,0
7201,12,42,1,0,0,1,1,0,600.0833333333334,0,1,0,1,0,0
4273,12,42,1,0,0,1,1,0,356.0833333333333,0,1,0,1,0,0
3925,14,42,1,0,0,1,1,0,280.35714285714283,0,1,0,1,0,0
4320,20,42,1,0,0,1,1,0,216.0,0,1,0,1,0,0
5814,12,42,1,0,0,1,1,0,484.5,0,1,0,1,0,0
5823,22,42,1,0,0,1,1,0,264.6818181818182,0,1,0,1,0,0
5269,16,42,1,0,0,1,1,0,329.3125,0,1,0,1,0,0
5218,11,42,1,0,0,1,1,0,474.3636363636364,0,1,0,1,0,0
6515,13,42,1,0,0,1,1,0,501.15384615384613,0,1,0,1,0,0
8447,11,37,1,0,0,0,0,0,767.9090909090909,0,1,0,1,0,0
8867,19,37,1,0,0,0,0,0,466.6842105263158,0,1,0,1,0,0
7484,8,37,1,0,0,0,0,0,935.5,0,1,0,1,0,0
6266,12,37,1,0,0,0,0,0,522.1666666666666,0,1,0,1,0,0
8043,17,51,0,0,0,0,0,0,473.11764705882354,0,1,0,0,1,0
8390,10,51,0,0,0,0,0,0,839.0,0,1,0,0,1,0
6299,13,51,0,0,0,0,0,0,484.53846153846155,0,1,0,0,1,0
8212,11,51,0,0,0,0,0,0,746.5454545454545,0,1,0,0,1,0
8725,14,51,0,0,0,0,0,0,623.2142857142857,0,1,0,0,1,0
7542,16,51,0,0,0,0,0,0,471.375,0,1,0,0,1,0
8535,11,51,0,0,0,0,0,0,775.9090909090909,0,1,0,0,1,0
7326,10,24,0,0,0,1,0,0,732.6,0,1,1,0,0,0
6065,11,24,0,0,0,1,0,0,551.3636363636364,0,1,1,0,0,0
7294,16,24,0,0,0,1,0,0,455.875,0,1,1,0,0,0
6082,13,24,0,0,0,1,0,0,467.84615384615387,0,1,1,0,0,0
7674,12,24,0,0,0,1,0,0,639.5,0,1,1,0,0,0
6841,10,24,0,0,0,1,0,0,684.1,0,1,1,0,0,0
8273,13,24,0,0,0,1,0,0,636.3846153846154,0,1,1,0,0,0
7490,10,24,0,0,0,1,0,0,749.0,0,1,1,0,0,0
5839,13,50,1,0,0,0,0,0,449.15384615384613,0,1,0,0,1,0
3611,14,50,1,0,0,0,0,0,257.92857142857144,0,1,0,0,1,0
4186,5,50,1,0,0,0,0,0,837.2,0,1,0,0,1,0
7086,18,50,1,0,0,0,0,0,393.6666666666667,0,1,0,0,1,0
6685,13,50,1,0,0,0,0,0,514.2307692307693,0,1,0,0,1,0
7487,14,50,1,0,0,0,0,0,534.7857142857143,0,1,0,0,1,0
8895,22,50,1,0,0,0,0,0,404.3181818181818,0,1,0,0,1,0
8810,19,50,1,0,0,0,0,0,463.6842105263158,0,1,0,0,1,0
7925,10,68,1,0,0,0,0,0,792.5,0,1,0,0,0,1
6889,10,68,1,0,0,0,0,0,688.9,0,1,0,0,0,1
7765,13,68,1,0,0,0,0,0,597.3076923076923,0,1,0,0,0,1
1479,19,47,0,0,0,0,0,0,77.84210526315789,0,1,0,0,1,0
1079,10,47,0,0,0,0,0,0,107.9,0,1,0,0,1,0
1145,13,47,0,0,0,0,0,0,88.07692307692308,0,1,0,0,1,0
2064,20,47,0,0,0,0,0,0,103.2,0,1,0,0,1,0
4028,15,47,0,0,0,0,0,0,268.53333333333336,0,1,0,0,1,0
1197,6,47,0,0,0,0,0,0,199.5,0,1,0,0,1,0
602,9,47,0,0,0,0,0,0,66.88888888888889,0,1,0,0,1,0
1531,10,47,0,0,0,0,0,0,153.1,0,1,0,0,1,0
4245,21,47,0,0,0,0,0,0,202.14285714285714,0,1,0,0,1,0
855,12,47,0,0,0,0,0,0,71.25,0,1,0,0,1,0
1090,17,47,0,0,0,0,0,0,64.11764705882354,0,1,0,0,1,0
1024,16,47,0,0,0,0,0,0,64.0,0,1,0,0,1,0
5264,18,69,1,0,0,1,0,0,292.44444444444446,0,1,0,0,0,1
3934,15,69,1,0,0,1,0,0,262.26666666666665,0,1,0,0,0,1
1825,14,69,1,0,0,1,0,0,130.35714285714286,0,1,0,0,0,1
1768,11,69,1,0,0,1,0,0,160.72727272727272,0,1,0,0,0,1
1249,13,69,1,0,0,1,0,0,96.07692307692308,0,1,0,0,0,1
1072,6,69,1,0,0,1,0,0,178.66666666666666,0,1,0,0,0,1
1323,11,69,1,0,0,1,0,0,120.27272727272727,0,1,0,0,0,1
2708,20,69,1,0,0,1,0,0,135.4,0,1,0,0,0,1
2227,11,69,1,0,0,1,0,0,202.45454545454547,0,1,0,0,0,1
859,13,69,1,0,0,1,0,0,66.07692307692308,0,1,0,0,0,1
1690,17,69,1,0,0,1,0,0,99.41176470588235,0,1,0,0,0,1
4458,12,69,1,0,0,1,0,0,371.5,0,1,0,0,0,1
5535,17,27,1,0,0,0,1,0,325.5882352941176,0,1,0,1,0,0
120,3,27,1,0,0,0,1,0,40.0,0,1,0,1,0,0
3863,13,27,1,0,0,0,1,0,297.15384615384613,0,1,0,1,0,0
3332,12,27,1,0,0,0,1,0,277.6666666666667,0,1,0,1,0,0
2640,13,27,1,0,0,0,1,0,203.07692307692307,0,1,0,1,0,0
3416,21,27,1,0,0,0,1,0,162.66666666666666,0,1,0,1,0,0
2475,26,27,1,0,0,0,1,0,95.1923076923077,0,1,0,1,0,0
2418,15,27,1,0,0,0,1,0,161.2,0,1,0,1,0,0
2029,11,27,1,0,0,0,1,0,184.45454545454547,0,1,0,1,0,0
2093,12,27,1,0,0,0,1,0,174.41666666666666,0,1,0,1,0,0
3534,18,27,1,0,0,0,1,0,196.33333333333334,0,1,0,1,0,0
3198,14,27,1,0,0,0,1,0,228.42857142857142,0,1,0,1,0,0
5702,9,52,1,1,0,0,1,1,633.5555555555555,0,1,0,0,1,0
8696,12,52,1,1,0,0,1,1,724.6666666666666,0,1,0,0,1,0
8670,15,52,1,1,0,0,1,1,578.0,0,1,0,0,1,0
8454,13,52,1,1,0,0,1,1,650.3076923076923,0,1,0,0,1,0
8085,10,52,1,1,0,0,1,1,808.5,0,1,0,0,1,0
2950,13,21,0,0,0,1,0,0,226.92307692307693,0,1,1,0,0,0
7219,15,21,0,0,0,1,0,0,481.26666666666665,0,1,1,0,0,0
1922,10,21,0,0,0,1,0,0,192.2,0,1,1,0,0,0
2408,8,21,0,0,0,1,0,0,301.0,0,1,1,0,0,0
1929,10,21,0,0,0,1,0,0,192.9,0,1,1,0,0,0
5850,18,21,0,0,0,1,0,0,325.0,0,1,1,0,0,0
2237,10,21,0,0,0,1,0,0,223.7,0,1,1,0,0,0
3434,10,21,0,0,0,1,0,0,343.4,0,1,1,0,0,0
3671,12,21,0,0,0,1,0,0,305.9166666666667,0,1,1,0,0,0
2687,15,21,0,0,0,1,0,0,179.13333333333333,0,1,1,0,0,0
2854,11,21,0,0,0,1,0,0,259.45454545454544,0,1,1,0,0,0
3273,10,21,0,0,0,1,0,0,327.3,0,1,1,0,0,0
7672,15,43,1,0,0,0,1,0,511.46666666666664,0,1,0,1,0,0
5439,16,43,1,0,0,0,1,0,339.9375,0,1,0,1,0,0
6082,15,43,1,0,0,0,1,0,405.46666666666664,0,1,0,1,0,0
8087,13,43,1,0,0,0,1,0,622.0769230769231,0,1,0,1,0,0
6202,11,43,1,0,0,0,1,0,563.8181818181819,0,1,0,1,0,0
7512,11,43,1,0,0,0,1,0,682.9090909090909,0,1,0,1,0,0
4952,7,43,1,0,0,0,1,0,707.4285714285714,0,1,0,1,0,0
4065,7,43,1,0,0,0,1,0,580.7142857142857,0,1,0,1,0,0
5895,10,43,1,0,0,0,1,0,589.5,0,1,0,1,0,0
7413,17,43,1,0,0,0,1,0,436.05882352941177,0,1,0,1,0,0
3573,4,43,1,0,0,0,1,0,893.25,0,1,0,1,0,0
4167,15,82,0,0,0,1,0,0,277.8,0,1,0,0,0,1
7068,14,82,0,0,0,1,0,0,504.85714285714283,0,1,0,0,0,1
4632,9,82,0,0,0,1,0,0,514.6666666666666,0,1,0,0,0,1
3914,14,82,0,0,0,1,0,0,279.57142857142856,0,1,0,0,0,1
5426,16,82,0,0,0,1,0,0,339.125,0,1,0,0,0,1
4502,16,82,0,0,0,1,0,0,281.375,0,1,0,0,0,1
5737,14,82,0,0,0,1,0,0,409.7857142857143,0,1,0,0,0,1
4915,19,82,0,0,0,1,0,0,258.6842105263158,0,1,0,0,0,1
3903,7,82,0,0,0,1,0,0,557.5714285714286,0,1,0,0,0,1
4567,10,82,0,0,0,1,0,0,456.7,0,1,0,0,0,1
5711,9,82,0,0,0,1,0,0,634.5555555555555,0,1,0,0,0,1
5147,16,82,0,0,0,1,0,0,321.6875,0,1,0,0,0,1
7360,20,44,0,1,0,0,0,1,368.0,0,1,0,1,0,0
3622,12,44,0,1,0,0,0,1,301.8333333333333,0,1,0,1,0,0
3861,8,44,0,1,0,0,0,1,482.625,0,1,0,1,0,0
5716,11,44,0,1,0,0,0,1,519.6363636363636,0,1,0,1,0,0
5479,20,44,0,1,0,0,0,1,273.95,0,1,0,1,0,0
6820,13,44,0,1,0,0,0,1,524.6153846153846,0,1,0,1,0,0
5720,18,44,0,1,0,0,0,1,317.77777777777777,0,1,0,1,0,0
6590,17,44,0,1,0,0,0,1,387.6470588235294,0,1,0,1,0,0
3964,11,44,0,1,0,0,0,1,360.3636363636364,0,1,0,1,0,0
6812,15,44,0,1,0,0,0,1,454.1333333333333,0,1,0,1,0,0
7704,9,41,0,1,0,0,1,1,856.0,0,1,0,1,0,0
5890,12,41,0,1,0,0,1,1,490.8333333333333,0,1,0,1,0,0
8155,19,41,0,1,0,0,1,1,429.2105263157895,0,1,0,1,0,0
7059,14,41,0,1,0,0,1,1,504.2142857142857,0,1,0,1,0,0
4702,15,41,0,1,0,0,1,1,313.46666666666664,0,1,0,1,0,0
4577,15,41,0,1,0,0,1,1,305.1333333333333,0,1,0,1,0,0
5512,9,41,0,1,0,0,1,1,612.4444444444445,0,1,0,1,0,0
5257,14,41,0,1,0,0,1,1,375.5,0,1,0,1,0,0
5681,13,41,0,1,0,0,1,1,437.0,0,1,0,1,0,0
6470,19,41,0,1,0,0,1,1,340.5263157894737,0,1,0,1,0,0
6674,17,41,0,1,0,0,1,1,392.5882352941176,0,1,0,1,0,0
4727,16,41,0,1,0,0,1,1,295.4375,0,1,0,1,0,0
3195,11,60,0,0,0,1,0,0,290.45454545454544,0,1,0,0,1,0
2696,13,60,0,0,0,1,0,0,207.3846153846154,0,1,0,0,1,0
5357,14,60,0,0,0,1,0,0,382.64285714285717,0,1,0,0,1,0
5193,18,60,0,0,0,1,0,0,288.5,0,1,0,0,1,0
2653,16,60,0,0,0,1,0,0,165.8125,0,1,0,0,1,0
6552,14,60,0,0,0,1,0,0,468.0,0,1,0,0,1,0
3409,16,60,0,0,0,1,0,0,213.0625,0,1,0,0,1,0
3129,15,60,0,0,0,1,0,0,208.6,0,1,0,0,1,0
3412,11,60,0,0,0,1,0,0,310.1818181818182,0,1,0,0,1,0
3637,19,60,0,0,0,1,0,0,191.42105263157896,0,1,0,0,1,0
4347,13,60,0,0,0,1,0,0,334.38461538461536,0,1,0,0,1,0
2270,14,60,0,0,0,1,0,0,162.14285714285714,0,1,0,0,1,0
3813,9,39,0,0,0,0,0,0,423.6666666666667,0,1,0,1,0,0
3995,10,39,0,0,0,0,0,0,399.5,0,1,0,1,0,0
4484,12,39,0,0,0,0,0,0,373.6666666666667,0,1,0,1,0,0
4535,9,39,0,0,0,0,0,0,503.8888888888889,0,1,0,1,0,0
2082,7,39,0,0,0,0,0,0,297.42857142857144,0,1,0,1,0,0
3169,11,39,0,0,0,0,0,0,288.09090909090907,0,1,0,1,0,0
3248,10,39,0,0,0,0,0,0,324.8,0,1,0,1,0,0
3275,16,39,0,0,0,0,0,0,204.6875,0,1,0,1,0,0
5770,18,39,0,0,0,0,0,0,320.55555555555554,0,1,0,1,0,0
1716,8,39,0,0,0,0,0,0,214.5,0,1,0,1,0,0
3603,11,39,0,0,0,0,0,0,327.54545454545456,0,1,0,1,0,0
4656,12,29,1,0,0,0,0,0,388.0,0,1,0,1,0,0
5440,12,29,1,0,0,0,0,0,453.3333333333333,0,1,0,1,0,0
4006,18,29,1,0,0,0,0,0,222.55555555555554,0,1,0,1,0,0
4163,10,29,1,0,0,0,0,0,416.3,0,1,0,1,0,0
5086,11,29,1,0,0,0,0,0,462.3636363636364,0,1,0,1,0,0
2487,8,29,1,0,0,0,0,0,310.875,0,1,0,1,0,0
4485,16,29,1,0,0,0,0,0,280.3125,0,1,0,1,0,0
5756,16,29,1,0,0,0,0,0,359.75,0,1,0,1,0,0
6762,11,29,1,0,0,0,0,0,614.7272727272727,0,1,0,1,0,0
4437,15,29,1,0,0,0,0,0,295.8,0,1,0,1,0,0
4260,10,29,1,0,0,0,0,0,426.0,0,1,0,1,0,0
3061,8,29,1,0,0,0,0,0,382.625,0,1,0,1,0,0
8715,17,77,1,0,0,0,0,0,512.6470588235294,0,1,0,0,0,1
8647,10,77,1,0,0,0,0,0,864.7,0,1,0,0,0,1
7014,19,65,1,0,0,1,0,0,369.1578947368421,0,1,0,0,0,1
3294,11,65,1,0,0,1,0,0,299.45454545454544,0,1,0,0,0,1
8224,15,65,1,0,0,1,0,0,548.2666666666667,0,1,0,0,0,1
7717,13,65,1,0,0,1,0,0,593.6153846153846,0,1,0,0,0,1
6569,11,65,1,0,0,1,0,0,597.1818181818181,0,1,0,0,0,1
7010,7,65,1,0,0,1,0,0,1001.4285714285714,0,1,0,0,0,1
7905,16,65,1,0,0,1,0,0,494.0625,0,1,0,0,0,1
6171,11,34,1,1,0,0,1,1,561.0,0,1,0,1,0,0
6262,12,34,1,1,0,0,1,1,521.8333333333334,0,1,0,1,0,0
5761,11,34,1,1,0,0,1,1,523.7272727272727,0,1,0,1,0,0
6445,14,34,1,1,0,0,1,1,460.35714285714283,0,1,0,1,0,0
7835,19,34,1,1,0,0,1,1,412.36842105263156,0,1,0,1,0,0
6977,16,34,1,1,0,0,1,1,436.0625,0,1,0,1,0,0
6363,14,34,1,1,0,0,1,1,454.5,0,1,0,1,0,0
6688,17,34,1,1,0,0,1,1,393.4117647058824,0,1,0,1,0,0
3039,12,34,1,1,0,0,1,1,253.25,0,1,0,1,0,0
7882,15,81,0,0,0,1,0,0,525.4666666666667,0,1,0,0,0,1
6404,10,81,0,0,0,1,0,0,640.4,0,1,0,0,0,1
5356,11,81,0,0,0,1,0,0,486.90909090909093,0,1,0,0,0,1
6065,18,81,0,0,0,1,0,0,336.94444444444446,0,1,0,0,0,1
8165,8,81,0,0,0,1,0,0,1020.625,0,1,0,0,0,1
5124,11,81,0,0,0,1,0,0,465.8181818181818,0,1,0,0,0,1
4326,6,81,0,0,0,1,0,0,721.0,0,1,0,0,0,1
4981,15,81,0,0,0,1,0,0,332.06666666666666,0,1,0,0,0,1
6670,14,81,0,0,0,1,0,0,476.42857142857144,0,1,0,0,0,1
5917,12,81,0,0,0,1,0,0,493.0833333333333,0,1,0,0,0,1
6139,10,81,0,0,0,1,0,0,613.9,0,1,0,0,0,1
3436,15,77,1,0,0,0,0,0,229.06666666666666,0,1,0,0,0,1
4245,12,77,1,0,0,0,0,0,353.75,0,1,0,0,0,1
2389,11,77,1,0,0,0,0,0,217.1818181818182,0,1,0,0,0,1
4265,7,77,1,0,0,0,0,0,609.2857142857143,0,1,0,0,0,1
5791,14,77,1,0,0,0,0,0,413.64285714285717,0,1,0,0,0,1
3465,14,77,1,0,0,0,0,0,247.5,0,1,0,0,0,1
4700,13,77,1,0,0,0,0,0,361.53846153846155,0,1,0,0,0,1
2032,9,77,1,0,0,0,0,0,225.77777777777777,0,1,0,0,0,1
6292,15,77,1,0,0,0,0,0,419.46666666666664,0,1,0,0,0,1
1885,17,77,1,0,0,0,0,0,110.88235294117646,0,1,0,0,0,1
3201,10,77,1,0,0,0,0,0,320.1,0,1,0,0,0,1
1994,15,77,1,0,0,0,0,0,132.93333333333334,0,1,0,0,0,1
4957,9,19,0,0,0,1,0,0,550.7777777777778,0,1,1,0,0,0
5227,13,19,0,0,0,1,0,0,402.0769230769231,0,1,1,0,0,0
6895,10,19,0,0,0,1,0,0,689.5,0,1,1,0,0,0
8535,12,19,0,0,0,1,0,0,711.25,0,1,1,0,0,0
7361,14,19,0,0,0,1,0,0,525.7857142857143,0,1,1,0,0,0
3956,12,19,0,0,0,1,0,0,329.6666666666667,0,1,1,0,0,0
4926,18,19,0,0,0,1,0,0,273.6666666666667,0,1,1,0,0,0
3833,14,19,0,0,0,1,0,0,273.7857142857143,0,1,1,0,0,0
3818,20,19,0,0,0,1,0,0,190.9,0,1,1,0,0,0
6731,23,19,0,0,0,1,0,0,292.6521739130435,0,1,1,0,0,0
5491,16,19,0,0,0,1,0,0,343.1875,0,1,1,0,0,0
5208,12,25,1,0,0,1,0,0,434.0,0,1,0,1,0,0
4602,20,25,1,0,0,1,0,0,230.1,0,1,0,1,0,0
3416,22,25,1,0,0,1,0,0,155.27272727272728,0,1,0,1,0,0
3758,15,25,1,0,0,1,0,0,250.53333333333333,0,1,0,1,0,0
6695,15,25,1,0,0,1,0,0,446.3333333333333,0,1,0,1,0,0
6941,18,25,1,0,0,1,0,0,385.6111111111111,0,1,0,1,0,0
7143,6,25,1,0,0,1,0,0,1190.5,0,1,0,1,0,0
3934,13,25,1,0,0,1,0,0,302.61538461538464,0,1,0,1,0,0
3777,19,25,1,0,0,1,0,0,198.78947368421052,0,1,0,1,0,0
3044,10,25,1,0,0,1,0,0,304.4,0,1,0,1,0,0
4145,10,25,1,0,0,1,0,0,414.5,0,1,0,1,0,0
2497,12,49,1,1,0,0,0,1,208.08333333333334,0,1,0,0,1,0
1449,5,49,1,1,0,0,0,1,289.8,0,1,0,0,1,0
2760,14,49,1,1,0,0,0,1,197.14285714285714,0,1,0,0,1,0
4375,13,49,1,1,0,0,0,1,336.53846153846155,0,1,0,0,1,0
1960,10,49,1,1,0,0,0,1,196.0,0,1,0,0,1,0
3032,11,49,1,1,0,0,0,1,275.6363636363636,0,1,0,0,1,0
2129,15,49,1,1,0,0,0,1,141.93333333333334,0,1,0,0,1,0
2852,15,49,1,1,0,0,0,1,190.13333333333333,0,1,0,0,1,0
4950,14,49,1,1,0,0,0,1,353.57142857142856,0,1,0,0,1,0
2581,14,49,1,1,0,0,0,1,184.35714285714286,0,1,0,0,1,0
2979,17,49,1,1,0,0,0,1,175.23529411764707,0,1,0,0,1,0
3903,17,49,1,1,0,0,0,1,229.58823529411765,0,1,0,0,1,0
7807,13,32,1,0,0,0,0,0,600.5384615384615,0,1,0,1,0,0
8250,10,32,1,0,0,0,0,0,825.0,0,1,0,1,0,0
8682,15,32,1,0,0,0,0,0,578.8,0,1,0,1,0,0
7035,11,32,1,0,0,0,0,0,639.5454545454545,0,1,0,1,0,0
6040,13,32,1,0,0,0,0,0,464.61538461538464,0,1,0,1,0,0
3278,19,47,1,0,0,1,0,0,172.52631578947367,0,1,0,0,1,0
3578,11,47,1,0,0,1,0,0,325.27272727272725,0,1,0,0,1,0
4327,16,47,1,0,0,1,0,0,270.4375,0,1,0,0,1,0
3298,18,47,1,0,0,1,0,0,183.22222222222223,0,1,0,0,1,0
2355,20,47,1,0,0,1,0,0,117.75,0,1,0,0,1,0
2858,13,47,1,0,0,1,0,0,219.84615384615384,0,1,0,0,1,0
2144,12,47,1,0,0,1,0,0,178.66666666666666,0,1,0,0,1,0
2625,13,47,1,0,0,1,0,0,201.92307692307693,0,1,0,0,1,0
4511,13,47,1,0,0,1,0,0,347.0,0,1,0,0,1,0
2801,13,47,1,0,0,1,0,0,215.46153846153845,0,1,0,0,1,0
3250,11,47,1,0,0,1,0,0,295.45454545454544,0,1,0,0,1,0
3713,19,47,1,0,0,1,0,0,195.42105263157896,0,1,0,0,1,0
6589,8,69,0,0,0,0,0,0,823.625,0,1,0,0,0,1
7213,14,69,0,0,0,0,0,0,515.2142857142857,0,1,0,0,0,1
5957,15,53,0,0,0,1,0,0,397.1333333333333,0,1,0,0,1,0
7020,12,53,0,0,0,1,0,0,585.0,0,1,0,0,1,0
7949,11,53,0,0,0,1,0,0,722.6363636363636,0,1,0,0,1,0
6804,14,53,0,0,0,1,0,0,486.0,0,1,0,0,1,0
6599,7,53,0,0,0,1,0,0,942.7142857142857,0,1,0,0,1,0
6157,18,53,0,0,0,1,0,0,342.05555555555554,0,1,0,0,1,0
6122,6,53,0,0,0,1,0,0,1020.3333333333334,0,1,0,0,1,0
7682,10,53,0,0,0,1,0,0,768.2,0,1,0,0,1,0
2188,14,82,1,0,0,0,0,0,156.28571428571428,0,1,0,0,0,1
1312,18,82,1,0,0,0,0,0,72.88888888888889,0,1,0,0,0,1
910,11,82,1,0,0,0,0,0,82.72727272727273,0,1,0,0,0,1
1757,14,82,1,0,0,0,0,0,125.5,0,1,0,0,0,1
1282,8,82,1,0,0,0,0,0,160.25,0,1,0,0,0,1
776,10,82,1,0,0,0,0,0,77.6,0,1,0,0,0,1
5190,22,82,1,0,0,0,0,0,235.9090909090909,0,1,0,0,0,1
1514,9,82,1,0,0,0,0,0,168.22222222222223,0,1,0,0,0,1
1589,14,82,1,0,0,0,0,0,113.5,0,1,0,0,0,1
1594,20,82,1,0,0,0,0,0,79.7,0,1,0,0,0,1
4111,13,82,1,0,0,0,0,0,316.2307692307692,0,1,0,0,0,1
3040,12,82,1,0,0,0,0,0,253.33333333333334,0,1,0,0,0,1
6725,18,63,0,1,0,0,1,1,373.6111111111111,0,1,0,0,1,0
5734,9,63,0,1,0,0,1,1,637.1111111111111,0,1,0,0,1,0
8204,11,63,0,1,0,0,1,1,745.8181818181819,0,1,0,0,1,0
4231,15,63,0,1,0,0,1,1,282.06666666666666,0,1,0,0,1,0
8282,11,63,0,1,0,0,1,1,752.9090909090909,0,1,0,0,1,0
8605,12,63,0,1,0,0,1,1,717.0833333333334,0,1,0,0,1,0
6258,15,63,0,1,0,0,1,1,417.2,0,1,0,0,1,0
5760,13,63,0,1,0,0,1,1,443.0769230769231,0,1,0,0,1,0
5577,12,63,0,1,0,0,1,1,464.75,0,1,0,0,1,0
7572,21,63,0,1,0,0,1,1,360.57142857142856,0,1,0,0,1,0
2917,3,23,0,1,0,0,0,1,972.3333333333334,0,1,1,0,0,0
1909,14,23,0,1,0,0,0,1,136.35714285714286,0,1,1,0,0,0
2820,9,23,0,1,0,0,0,1,313.3333333333333,0,1,1,0,0,0
2571,13,23,0,1,0,0,0,1,197.76923076923077,0,1,1,0,0,0
2525,17,23,0,1,0,0,0,1,148.52941176470588,0,1,1,0,0,0
1841,17,23,0,1,0,0,0,1,108.29411764705883,0,1,1,0,0,0
2228,10,23,0,1,0,0,0,1,222.8,0,1,1,0,0,0
1895,12,23,0,1,0,0,0,1,157.91666666666666,0,1,1,0,0,0
3873,19,23,0,1,0,0,0,1,203.8421052631579,0,1,1,0,0,0
1837,8,23,0,1,0,0,0,1,229.625,0,1,1,0,0,0
2908,20,23,0,1,0,0,0,1,145.4,0,1,1,0,0,0
1629,13,23,0,1,0,0,0,1,125.3076923076923,0,1,1,0,0,0
6266,16,39,0,0,0,0,0,0,391.625,0,1,0,1,0,0
7086,9,39,0,0,0,0,0,0,787.3333333333334,0,1,0,1,0,0
7033,18,39,0,0,0,0,0,0,390.72222222222223,0,1,0,1,0,0
6150,18,39,0,0,0,0,0,0,341.6666666666667,0,1,0,1,0,0
7477,19,39,0,0,0,0,0,0,393.5263157894737,0,1,0,1,0,0
5665,5,39,0,0,0,0,0,0,1133.0,0,1,0,1,0,0
