Transaction_Value,SAR,No_Of_Monthly_Transactions,Age,Sex,High_Risk_Country,Vulnerable_Area,Intention_International_Payments,Intention_Cash_Deposits,High_Risk_Transaction,Average_Value_Per_Transaction,Transaction_Cash,Transaction_International,Transaction_Wire,Age_Is_young,Age_Is_lower_middle,Age_Is_upper_middle,Age_Is_old
11825,0,16,37,1,0,0,0,0,0,739.0625,0,0,1,0,1,0,0
12903,0,22,37,1,0,0,0,0,0,586.5,0,0,1,0,1,0,0
13205,0,12,37,1,0,0,0,0,0,1100.4166666666667,0,0,1,0,1,0,0
14652,0,18,37,1,0,0,0,0,0,814.0,0,0,1,0,1,0,0
13721,0,15,37,1,0,0,0,0,0,914.7333333333333,0,0,1,0,1,0,0
12686,0,18,37,1,0,0,0,0,0,704.7777777777778,0,0,1,0,1,0,0
15017,1,21,37,1,0,0,0,0,0,715.0952380952381,0,0,1,0,1,0,0
11130,0,15,51,0,0,0,0,0,0,742.0,0,0,1,0,0,1,0
11201,0,14,51,0,0,0,0,0,0,800.0714285714286,0,0,1,0,0,1,0
9669,0,12,51,0,0,0,0,0,0,805.75,0,0,1,0,0,1,0
10287,0,7,51,0,0,0,0,0,0,1469.5714285714287,0,0,1,0,0,1,0
9138,0,16,51,0,0,0,0,0,0,571.125,0,0,1,0,0,1,0
9002,0,10,24,0,0,0,1,0,0,900.2,0,0,1,1,0,0,0
9406,0,19,24,0,0,0,1,0,0,495.05263157894734,0,0,1,1,0,0,0
9448,1,17,24,0,0,0,1,0,0,555.7647058823529,0,0,1,1,0,0,0
10589,0,13,24,0,0,0,1,0,0,814.5384615384615,0,0,1,1,0,0,0
12721,0,13,50,1,0,0,0,0,0,978.5384615384615,0,0,1,0,0,1,0
10953,0,19,50,1,0,0,0,0,0,576.4736842105264,0,0,1,0,0,1,0
10602,1,9,50,1,0,0,0,0,0,1178.0,0,0,1,0,0,1,0
15882,0,8,50,1,0,0,0,0,0,1985.25,0,0,1,0,0,1,0
16590,0,9,68,1,0,0,0,0,0,1843.3333333333333,0,0,1,0,0,0,1
14399,0,11,68,1,0,0,0,0,0,1309.0,0,0,1,0,0,0,1
11058,0,12,68,1,0,0,0,0,0,921.5,0,0,1,0,0,0,1
17284,0,12,68,1,0,0,0,0,0,1440.3333333333333,0,0,1,0,0,0,1
10858,0,10,68,1,0,0,0,0,0,1085.8,0,0,1,0,0,0,1
11103,1,16,68,1,0,0,0,0,0,693.9375,0,0,1,0,0,0,1
12088,1,9,68,1,0,0,0,0,0,1343.111111111111,0,0,1,0,0,0,1
9251,0,14,68,1,0,0,0,0,0,660.7857142857143,0,0,1,0,0,0,1
10178,0,15,68,1,0,0,0,0,0,678.5333333333333,0,0,1,0,0,0,1
10231,1,12,52,1,1,0,0,1,1,852.5833333333334,0,0,1,0,0,1,0
9272,0,8,52,1,1,0,0,1,1,1159.0,0,0,1,0,0,1,0
11868,0,25,52,1,1,0,0,1,1,474.72,0,0,1,0,0,1,0
14095,0,16,52,1,1,0,0,1,1,880.9375,0,0,1,0,0,1,0
9626,0,13,52,1,1,0,0,1,1,740.4615384615385,0,0,1,0,0,1,0
10746,0,14,52,1,1,0,0,1,1,767.5714285714286,0,0,1,0,0,1,0
14976,0,15,52,1,1,0,0,1,1,998.4,0,0,1,0,0,1,0
9628,0,17,43,1,0,0,0,1,0,566.3529411764706,0,0,1,0,1,0,0
9329,0,10,44,0,1,0,0,0,1,932.9,0,0,1,0,1,0,0
10193,0,16,44,0,1,0,0,0,1,637.0625,0,0,1,0,1,0,0
9796,1,15,39,0,0,0,0,0,0,653.0666666666667,0,0,1,0,1,0,0
16191,1,17,77,1,0,0,0,0,0,952.4117647058823,0,0,1,0,0,0,1
10328,0,11,77,1,0,0,0,0,0,938.9090909090909,0,0,1,0,0,0,1
11341,1,11,77,1,0,0,0,0,0,1031.0,0,0,1,0,0,0,1
9636,0,15,77,1,0,0,0,0,0,642.4,0,0,1,0,0,0,1
13820,0,17,77,1,0,0,0,0,0,812.9411764705883,0,0,1,0,0,0,1
13420,0,14,77,1,0,0,0,0,0,958.5714285714286,0,0,1,0,0,0,1
13024,0,9,77,1,0,0,0,0,0,1447.111111111111,0,0,1,0,0,0,1
13940,0,15,77,1,0,0,0,0,0,929.3333333333334,0,0,1,0,0,0,1
14121,0,13,77,1,0,0,0,0,0,1086.2307692307693,0,0,1,0,0,0,1
16156,0,16,77,1,0,0,0,0,0,1009.75,0,0,1,0,0,0,1
11180,0,15,65,1,0,0,1,0,0,745.3333333333334,0,0,1,0,0,0,1
11021,0,10,65,1,0,0,1,0,0,1102.1,0,0,1,0,0,0,1
9672,1,17,65,1,0,0,1,0,0,568.9411764705883,0,0,1,0,0,0,1
10174,0,18,65,1,0,0,1,0,0,565.2222222222222,0,0,1,0,0,0,1
12553,1,12,65,1,0,0,1,0,0,1046.0833333333333,0,0,1,0,0,0,1
10975,0,7,34,1,1,0,0,1,1,1567.857142857143,0,0,1,0,1,0,0
9883,0,8,34,1,1,0,0,1,1,1235.375,0,0,1,0,1,0,0
11528,0,16,34,1,1,0,0,1,1,720.5,0,0,1,0,1,0,0
9358,1,12,81,0,0,0,1,0,0,779.8333333333334,0,0,1,0,0,0,1
9549,0,11,19,0,0,0,1,0,0,868.0909090909091,0,0,1,1,0,0,0
10429,0,15,25,1,0,0,1,0,0,695.2666666666667,0,0,1,0,1,0,0
12500,0,11,32,1,0,0,0,0,0,1136.3636363636363,0,0,1,0,1,0,0
14067,0,14,32,1,0,0,0,0,0,1004.7857142857143,0,0,1,0,1,0,0
13637,0,10,32,1,0,0,0,0,0,1363.7,0,0,1,0,1,0,0
12245,0,19,32,1,0,0,0,0,0,644.4736842105264,0,0,1,0,1,0,0
9785,0,17,32,1,0,0,0,0,0,575.5882352941177,0,0,1,0,1,0,0
11977,0,21,32,1,0,0,0,0,0,570.3333333333334,0,0,1,0,1,0,0
14914,0,16,32,1,0,0,0,0,0,932.125,0,0,1,0,1,0,0
10682,0,15,69,0,0,0,0,0,0,712.1333333333333,0,0,1,0,0,0,1
12680,1,18,69,0,0,0,0,0,0,704.4444444444445,0,0,1,0,0,0,1
15994,0,20,69,0,0,0,0,0,0,799.7,0,0,1,0,0,0,1
10728,0,12,69,0,0,0,0,0,0,894.0,0,0,1,0,0,0,1
9863,0,12,69,0,0,0,0,0,0,821.9166666666666,0,0,1,0,0,0,1
21262,0,13,69,0,0,0,0,0,0,1635.5384615384614,0,0,1,0,0,0,1
15067,0,34,69,0,0,0,0,0,0,443.1470588235294,0,0,1,0,0,0,1
11920,0,16,69,0,0,0,0,0,0,745.0,0,0,1,0,0,0,1
10558,0,10,69,0,0,0,0,0,0,1055.8,0,0,1,0,0,0,1
12600,0,8,69,0,0,0,0,0,0,1575.0,0,0,1,0,0,0,1
9753,0,12,53,0,0,0,1,0,0,812.75,0,0,1,0,0,1,0
12348,0,8,53,0,0,0,1,0,0,1543.5,0,0,1,0,0,1,0
9816,0,14,53,0,0,0,1,0,0,701.1428571428571,0,0,1,0,0,1,0
9098,0,9,53,0,0,0,1,0,0,1010.8888888888889,0,0,1,0,0,1,0
9656,0,12,63,0,1,0,0,1,1,804.6666666666666,0,0,1,0,0,1,0
10259,0,17,63,0,1,0,0,1,1,603.4705882352941,0,0,1,0,0,1,0
13947,0,9,39,0,0,0,0,0,0,1549.6666666666667,0,0,1,0,1,0,0
9677,0,15,39,0,0,0,0,0,0,645.1333333333333,0,0,1,0,1,0,0
10470,0,12,39,0,0,0,0,0,0,872.5,0,0,1,0,1,0,0
14205,0,14,39,0,0,0,0,0,0,1014.6428571428571,0,0,1,0,1,0,0
9329,1,14,72,0,0,0,0,0,0,666.3571428571429,0,0,1,0,0,0,1
14811,1,14,39,1,0,0,1,0,0,1057.9285714285713,0,0,1,0,1,0,0
14825,0,24,39,1,0,0,1,0,0,617.7083333333334,0,0,1,0,1,0,0
10787,0,9,39,1,0,0,1,0,0,1198.5555555555557,0,0,1,0,1,0,0
13367,0,18,39,1,0,0,1,0,0,742.6111111111111,0,0,1,0,1,0,0
15506,0,14,39,1,0,0,1,0,0,1107.5714285714287,0,0,1,0,1,0,0
18092,0,12,39,1,0,0,1,0,0,1507.6666666666667,0,0,1,0,1,0,0
12616,0,15,39,1,0,0,1,0,0,841.0666666666667,0,0,1,0,1,0,0
11876,0,12,39,1,0,0,1,0,0,989.6666666666666,0,0,1,0,1,0,0
9760,0,14,47,1,0,0,1,0,0,697.1428571428571,0,0,1,0,0,1,0
9029,0,17,31,0,0,0,1,0,0,531.1176470588235,0,0,1,0,1,0,0
9082,0,10,31,0,0,0,1,0,0,908.2,0,0,1,0,1,0,0
16133,0,9,31,0,0,0,1,0,0,1792.5555555555557,0,0,1,0,1,0,0
17514,0,17,31,0,0,0,1,0,0,1030.235294117647,0,0,1,0,1,0,0
12470,0,15,31,0,0,0,1,0,0,831.3333333333334,0,0,1,0,1,0,0
16246,0,15,31,0,0,0,1,0,0,1083.0666666666666,0,0,1,0,1,0,0
18461,0,11,31,0,0,0,1,0,0,1678.2727272727273,0,0,1,0,1,0,0
14293,0,11,31,0,0,0,1,0,0,1299.3636363636363,0,0,1,0,1,0,0
15111,0,18,31,0,0,0,1,0,0,839.5,0,0,1,0,1,0,0
13486,0,10,31,0,0,0,1,0,0,1348.6,0,0,1,0,1,0,0
12760,0,8,31,0,0,0,1,0,0,1595.0,0,0,1,0,1,0,0
9856,1,18,25,0,0,0,1,0,0,547.5555555555555,0,0,1,0,1,0,0
20768,0,15,20,0,1,0,1,0,1,1384.5333333333333,0,0,1,1,0,0,0
13082,0,11,20,0,1,0,1,0,1,1189.2727272727273,0,0,1,1,0,0,0
10584,0,15,20,0,1,0,1,0,1,705.6,0,0,1,1,0,0,0
9616,1,11,20,0,1,0,1,0,1,874.1818181818181,0,0,1,1,0,0,0
9701,1,10,20,0,1,0,1,0,1,970.1,0,0,1,1,0,0,0
9493,0,15,20,0,1,0,1,0,1,632.8666666666667,0,0,1,1,0,0,0
9616,0,10,61,0,0,0,1,1,0,961.6,0,0,1,0,0,1,0
10344,0,11,61,0,0,0,1,1,0,940.3636363636364,0,0,1,0,0,1,0
9243,0,14,61,0,0,0,1,1,0,660.2142857142857,0,0,1,0,0,1,0
13605,0,14,77,1,0,0,0,0,0,971.7857142857143,0,0,1,0,0,0,1
9812,0,14,30,1,0,0,0,0,0,700.8571428571429,0,0,1,0,1,0,0
9362,0,15,30,1,0,0,0,0,0,624.1333333333333,0,0,1,0,1,0,0
9972,0,20,30,1,0,0,0,0,0,498.6,0,0,1,0,1,0,0
9766,0,18,30,1,0,0,0,0,0,542.5555555555555,0,0,1,0,1,0,0
9489,0,11,22,1,0,0,1,1,0,862.6363636363636,0,0,1,1,0,0,0
11236,1,17,85,0,0,0,0,0,0,660.9411764705883,0,0,1,0,0,0,1
12443,0,12,28,1,0,0,0,1,0,1036.9166666666667,0,0,1,0,1,0,0
9602,0,19,28,1,0,0,0,1,0,505.36842105263156,0,0,1,0,1,0,0
14710,0,11,28,1,0,0,0,1,0,1337.2727272727273,0,0,1,0,1,0,0
9854,0,14,28,1,0,0,0,1,0,703.8571428571429,0,0,1,0,1,0,0
10478,0,10,28,1,0,0,0,1,0,1047.8,0,0,1,0,1,0,0
15787,0,9,28,1,0,0,0,1,0,1754.111111111111,0,0,1,0,1,0,0
12958,0,12,30,0,0,0,0,0,0,1079.8333333333333,0,0,1,0,1,0,0
9763,0,17,30,0,0,0,0,0,0,574.2941176470588,0,0,1,0,1,0,0
13008,0,15,30,0,0,0,0,0,0,867.2,0,0,1,0,1,0,0
9438,1,5,25,1,1,0,1,0,1,1887.6,0,0,1,0,1,0,0
12459,1,19,25,1,1,0,1,0,1,655.7368421052631,0,0,1,0,1,0,0
14176,0,10,53,1,0,0,0,1,0,1417.6,0,0,1,0,0,1,0
15587,0,16,53,1,0,0,0,1,0,974.1875,0,0,1,0,0,1,0
10404,0,12,53,1,0,0,0,1,0,867.0,0,0,1,0,0,1,0
12513,0,14,53,1,0,0,0,1,0,893.7857142857143,0,0,1,0,0,1,0
9582,0,9,53,1,0,0,0,1,0,1064.6666666666667,0,0,1,0,0,1,0
16682,0,9,53,1,0,0,0,1,0,1853.5555555555557,0,0,1,0,0,1,0
9324,0,11,66,0,1,0,0,0,1,847.6363636363636,0,0,1,0,0,0,1
14443,0,7,66,0,1,0,0,0,1,2063.285714285714,0,0,1,0,0,0,1
11375,0,11,66,0,1,0,0,0,1,1034.090909090909,0,0,1,0,0,0,1
20084,0,10,66,0,1,0,0,0,1,2008.4,0,0,1,0,0,0,1
11110,0,13,66,0,1,0,0,0,1,854.6153846153846,0,0,1,0,0,0,1
11208,0,14,66,0,1,0,0,0,1,800.5714285714286,0,0,1,0,0,0,1
12707,0,21,66,0,1,0,0,0,1,605.0952380952381,0,0,1,0,0,0,1
9494,0,9,66,0,1,0,0,0,1,1054.888888888889,0,0,1,0,0,0,1
10393,1,13,85,1,0,0,0,0,0,799.4615384615385,0,0,1,0,0,0,1
9957,1,13,85,1,0,0,0,0,0,765.9230769230769,0,0,1,0,0,0,1
9341,1,12,85,1,0,0,0,0,0,778.4166666666666,0,0,1,0,0,0,1
10313,0,12,57,1,0,0,1,0,0,859.4166666666666,0,0,1,0,0,1,0
10104,0,15,81,0,0,0,1,0,0,673.6,0,0,1,0,0,0,1
10172,0,18,81,0,0,0,1,0,0,565.1111111111111,0,0,1,0,0,0,1
9977,0,20,81,0,0,0,1,0,0,498.85,0,0,1,0,0,0,1
12097,1,18,77,1,0,0,0,0,0,672.0555555555555,0,0,1,0,0,0,1
11449,1,12,77,1,0,0,0,0,0,954.0833333333334,0,0,1,0,0,0,1
16595,1,15,77,1,0,0,0,0,0,1106.3333333333333,0,0,1,0,0,0,1
13753,1,11,77,1,0,0,0,0,0,1250.2727272727273,0,0,1,0,0,0,1
11153,1,14,77,1,0,0,0,0,0,796.6428571428571,0,0,1,0,0,0,1
14552,0,10,30,0,0,0,0,0,0,1455.2,0,0,1,0,1,0,0
9795,0,7,30,0,0,0,0,0,0,1399.2857142857142,0,0,1,0,1,0,0
11634,0,17,30,0,0,0,0,0,0,684.3529411764706,0,0,1,0,1,0,0
11380,0,14,30,0,0,0,0,0,0,812.8571428571429,0,0,1,0,1,0,0
12454,0,9,30,0,0,0,0,0,0,1383.7777777777778,0,0,1,0,1,0,0
11216,1,14,30,0,0,0,0,0,0,801.1428571428571,0,0,1,0,1,0,0
10207,0,13,30,0,0,0,0,0,0,785.1538461538462,0,0,1,0,1,0,0
21770,0,7,28,0,0,0,0,0,0,3110.0,0,0,1,0,1,0,0
15184,0,10,28,0,0,0,0,0,0,1518.4,0,0,1,0,1,0,0
13061,0,15,28,0,0,0,0,0,0,870.7333333333333,0,0,1,0,1,0,0
10658,0,9,28,0,0,0,0,0,0,1184.2222222222222,0,0,1,0,1,0,0
10943,0,12,28,0,0,0,0,0,0,911.9166666666666,0,0,1,0,1,0,0
9535,0,13,28,0,0,0,0,0,0,733.4615384615385,0,0,1,0,1,0,0
12241,0,7,28,0,0,0,0,0,0,1748.7142857142858,0,0,1,0,1,0,0
13830,1,16,80,0,0,0,1,1,0,864.375,0,0,1,0,0,0,1
13236,1,12,80,0,0,0,1,1,0,1103.0,0,0,1,0,0,0,1
16376,0,20,80,0,0,0,1,1,0,818.8,0,0,1,0,0,0,1
12181,1,14,80,0,0,0,1,1,0,870.0714285714286,0,0,1,0,0,0,1
9642,0,12,80,0,0,0,1,1,0,803.5,0,0,1,0,0,0,1
9788,0,14,80,0,0,0,1,1,0,699.1428571428571,0,0,1,0,0,0,1
10653,0,14,80,0,0,0,1,1,0,760.9285714285714,0,0,1,0,0,0,1
9740,0,14,80,0,0,0,1,1,0,695.7142857142857,0,0,1,0,0,0,1
9842,1,10,80,0,0,0,1,1,0,984.2,0,0,1,0,0,0,1
11221,0,6,58,1,0,0,0,0,0,1870.1666666666667,0,0,1,0,0,1,0
9537,0,17,58,1,0,0,0,0,0,561.0,0,0,1,0,0,1,0
11518,0,10,58,1,0,0,0,0,0,1151.8,0,0,1,0,0,1,0
15415,0,13,58,1,0,0,0,0,0,1185.7692307692307,0,0,1,0,0,1,0
12282,0,15,58,1,0,0,0,0,0,818.8,0,0,1,0,0,1,0
17111,1,13,58,1,0,0,0,0,0,1316.2307692307693,0,0,1,0,0,1,0
11568,0,16,58,1,0,0,0,0,0,723.0,0,0,1,0,0,1,0
15204,0,18,58,1,0,0,0,0,0,844.6666666666666,0,0,1,0,0,1,0
10322,1,15,58,1,0,0,0,0,0,688.1333333333333,0,0,1,0,0,1,0
9584,0,16,36,1,0,0,0,0,0,599.0,0,0,1,0,1,0,0
11331,0,22,69,0,1,0,1,1,1,515.0454545454545,0,0,1,0,0,0,1
9495,0,14,69,0,1,0,1,1,1,678.2142857142857,0,0,1,0,0,0,1
9440,0,18,69,0,1,0,1,1,1,524.4444444444445,0,0,1,0,0,0,1
9287,0,13,39,1,0,0,1,0,0,714.3846153846154,0,0,1,0,1,0,0
12343,1,10,39,1,0,0,1,0,0,1234.3,0,0,1,0,1,0,0
9226,0,7,39,1,0,0,1,0,0,1318.0,0,0,1,0,1,0,0
15845,0,13,39,1,0,0,1,0,0,1218.8461538461538,0,0,1,0,1,0,0
10659,0,11,39,1,0,0,1,0,0,969.0,0,0,1,0,1,0,0
9732,0,15,39,1,0,0,1,0,0,648.8,0,0,1,0,1,0,0
14178,0,9,39,1,0,0,1,0,0,1575.3333333333333,0,0,1,0,1,0,0
14836,0,13,39,1,0,0,1,0,0,1141.2307692307693,0,0,1,0,1,0,0
12146,0,14,39,1,0,0,1,0,0,867.5714285714286,0,0,1,0,1,0,0
9515,0,14,39,1,0,0,1,0,0,679.6428571428571,0,0,1,0,1,0,0
11215,0,12,39,1,0,0,1,0,0,934.5833333333334,0,0,1,0,1,0,0
12111,0,18,75,1,0,1,0,0,1,672.8333333333334,0,0,1,0,0,0,1
10127,0,12,75,1,0,1,0,0,1,843.9166666666666,0,0,1,0,0,0,1
11230,0,18,31,0,0,0,1,1,0,623.8888888888889,0,0,1,0,1,0,0
10559,1,13,31,0,0,0,1,1,0,812.2307692307693,0,0,1,0,1,0,0
11337,0,15,31,0,0,0,1,1,0,755.8,0,0,1,0,1,0,0
10243,0,13,57,1,0,0,1,0,0,787.9230769230769,0,0,1,0,0,1,0
11870,0,17,57,1,0,0,1,0,0,698.2352941176471,0,0,1,0,0,1,0
12237,0,10,57,1,0,0,1,0,0,1223.7,0,0,1,0,0,1,0
12830,0,24,57,1,0,0,1,0,0,534.5833333333334,0,0,1,0,0,1,0
12522,0,11,57,1,0,0,1,0,0,1138.3636363636363,0,0,1,0,0,1,0
13801,0,8,57,1,0,0,1,0,0,1725.125,0,0,1,0,0,1,0
10838,0,14,57,1,0,0,1,0,0,774.1428571428571,0,0,1,0,0,1,0
9414,0,14,75,1,0,0,1,0,0,672.4285714285714,0,0,1,0,0,0,1
12000,0,16,75,1,0,0,1,0,0,750.0,0,0,1,0,0,0,1
11072,0,21,24,0,0,0,0,0,0,527.2380952380952,0,0,1,1,0,0,0
9706,0,16,24,0,0,0,0,0,0,606.625,0,0,1,1,0,0,0
10163,0,18,24,0,0,0,0,0,0,564.6111111111111,0,0,1,1,0,0,0
9373,0,17,24,0,0,0,0,0,0,551.3529411764706,0,0,1,1,0,0,0
10487,1,10,85,0,0,0,1,0,0,1048.7,0,0,1,0,0,0,1
14632,0,13,85,0,0,0,1,0,0,1125.5384615384614,0,0,1,0,0,0,1
11031,0,15,85,0,0,0,1,0,0,735.4,0,0,1,0,0,0,1
13027,1,12,85,0,0,0,1,0,0,1085.5833333333333,0,0,1,0,0,0,1
10044,0,14,85,0,0,0,1,0,0,717.4285714285714,0,0,1,0,0,0,1
10023,1,18,67,0,0,0,0,0,0,556.8333333333334,0,0,1,0,0,0,1
9023,0,25,71,1,0,0,0,0,0,360.92,0,0,1,0,0,0,1
15372,1,16,82,0,0,0,0,0,0,960.75,0,0,1,0,0,0,1
14304,0,14,82,0,0,0,0,0,0,1021.7142857142857,0,0,1,0,0,0,1
12484,1,17,82,0,0,0,0,0,0,734.3529411764706,0,0,1,0,0,0,1
10193,1,13,82,0,0,0,0,0,0,784.0769230769231,0,0,1,0,0,0,1
10546,0,13,82,0,0,0,0,0,0,811.2307692307693,0,0,1,0,0,0,1
11972,0,9,82,0,0,0,0,0,0,1330.2222222222222,0,0,1,0,0,0,1
9796,0,7,82,0,0,0,0,0,0,1399.4285714285713,0,0,1,0,0,0,1
10031,0,12,82,0,0,0,0,0,0,835.9166666666666,0,0,1,0,0,0,1
11771,0,10,82,0,0,0,0,0,0,1177.1,0,0,1,0,0,0,1
12595,0,5,62,1,0,0,1,0,0,2519.0,0,0,1,0,0,1,0
10630,0,13,62,1,0,0,1,0,0,817.6923076923077,0,0,1,0,0,1,0
10155,1,9,24,0,0,0,0,0,0,1128.3333333333333,0,0,1,1,0,0,0
10742,0,16,24,0,0,0,0,0,0,671.375,0,0,1,1,0,0,0
10119,0,16,24,0,0,0,0,0,0,632.4375,0,0,1,1,0,0,0
13000,1,17,24,0,0,0,0,0,0,764.7058823529412,0,0,1,1,0,0,0
15532,1,18,24,0,0,0,0,0,0,862.8888888888889,0,0,1,1,0,0,0
14081,0,16,24,0,0,0,0,0,0,880.0625,0,0,1,1,0,0,0
12361,1,20,24,0,0,0,0,0,0,618.05,0,0,1,1,0,0,0
9056,0,18,54,0,0,0,0,1,0,503.1111111111111,0,0,1,0,0,1,0
10679,0,16,54,0,0,0,0,1,0,667.4375,0,0,1,0,0,1,0
13235,0,13,63,0,1,0,0,0,1,1018.0769230769231,0,0,1,0,0,1,0
13546,0,11,63,0,1,0,0,0,1,1231.4545454545455,0,0,1,0,0,1,0
14967,0,18,63,0,1,0,0,0,1,831.5,0,0,1,0,0,1,0
13618,0,16,63,0,1,0,0,0,1,851.125,0,0,1,0,0,1,0
10308,0,22,63,0,1,0,0,0,1,468.54545454545456,0,0,1,0,0,1,0
11688,0,16,63,0,1,0,0,0,1,730.5,0,0,1,0,0,1,0
11635,0,8,63,0,1,0,0,0,1,1454.375,0,0,1,0,0,1,0
15093,0,9,63,0,1,0,0,0,1,1677.0,0,0,1,0,0,1,0
10729,0,8,48,1,0,0,1,0,0,1341.125,0,0,1,0,0,1,0
9968,0,14,48,1,0,0,1,0,0,712.0,0,0,1,0,0,1,0
16560,0,17,48,1,0,0,1,0,0,974.1176470588235,0,0,1,0,0,1,0
19874,0,24,48,1,0,0,1,0,0,828.0833333333334,0,0,1,0,0,1,0
9475,0,16,48,1,0,0,1,0,0,592.1875,0,0,1,0,0,1,0
12440,0,21,48,1,0,0,1,0,0,592.3809523809524,0,0,1,0,0,1,0
11057,0,19,48,1,0,0,1,0,0,581.9473684210526,0,0,1,0,0,1,0
9524,0,15,48,1,0,0,1,0,0,634.9333333333333,0,0,1,0,0,1,0
13599,0,17,48,1,0,0,1,0,0,799.9411764705883,0,0,1,0,0,1,0
10327,1,17,19,0,0,0,1,0,0,607.4705882352941,0,0,1,1,0,0,0
9250,1,12,19,0,0,0,1,0,0,770.8333333333334,0,0,1,1,0,0,0
11498,1,12,19,0,0,0,1,0,0,958.1666666666666,0,0,1,1,0,0,0
11309,0,16,19,0,0,0,1,0,0,706.8125,0,0,1,1,0,0,0
12660,1,20,81,0,0,0,0,0,0,633.0,0,0,1,0,0,0,1
9284,0,15,81,0,0,0,0,0,0,618.9333333333333,0,0,1,0,0,0,1
10604,0,21,81,0,0,0,0,0,0,504.95238095238096,0,0,1,0,0,0,1
11031,1,12,81,0,0,0,0,0,0,919.25,0,0,1,0,0,0,1
10763,0,19,81,0,0,0,0,0,0,566.4736842105264,0,0,1,0,0,0,1
10255,0,11,81,0,0,0,0,0,0,932.2727272727273,0,0,1,0,0,0,1
11580,1,13,81,0,0,0,0,0,0,890.7692307692307,0,0,1,0,0,0,1
9613,1,19,81,0,0,0,0,0,0,505.94736842105266,0,0,1,0,0,0,1
11372,1,10,81,0,0,0,0,0,0,1137.2,0,0,1,0,0,0,1
12948,0,13,62,0,1,0,0,0,1,996.0,0,0,1,0,0,1,0
10097,0,13,62,0,1,0,0,0,1,776.6923076923077,0,0,1,0,0,1,0
13683,0,5,62,0,1,0,0,0,1,2736.6,0,0,1,0,0,1,0
9722,0,19,62,0,1,0,0,0,1,511.6842105263158,0,0,1,0,0,1,0
12390,0,14,53,1,1,0,0,1,1,885.0,0,0,1,0,0,1,0
10551,0,8,53,1,1,0,0,1,1,1318.875,0,0,1,0,0,1,0
9283,0,8,53,1,1,0,0,1,1,1160.375,0,0,1,0,0,1,0
10672,0,15,53,1,1,0,0,1,1,711.4666666666667,0,0,1,0,0,1,0
10450,0,9,53,1,1,0,0,1,1,1161.111111111111,0,0,1,0,0,1,0
12826,0,14,53,1,1,0,0,1,1,916.1428571428571,0,0,1,0,0,1,0
10671,1,11,53,1,1,0,0,1,1,970.0909090909091,0,0,1,0,0,1,0
12777,0,13,53,1,1,0,0,1,1,982.8461538461538,0,0,1,0,0,1,0
18254,0,11,53,1,1,0,0,1,1,1659.4545454545455,0,0,1,0,0,1,0
9061,0,17,53,1,1,0,0,1,1,533.0,0,0,1,0,0,1,0
10504,0,13,52,1,1,0,0,0,1,808.0,0,0,1,0,0,1,0
